source_ENSEMBL target_ENSEMBL interaction
ENSG00000142208 ENSG00000065559 -1
ENSG00000142208 ENSG00000067369 -1
ENSG00000142208 ENSG00000150995 -1
ENSG00000142208 TSC1_TSC2 -1
ENSG00000142208 ENSG00000159840 -1
ENSG00000142208 ENSG00000129757 -1
ENSG00000142208 ENSG00000003402 -1
ENSG00000142208 ENSG00000135439 1
ENSG00000142208 ENSG00000002330 -1
ENSG00000142208 ENSG00000123836 1
ENSG00000142208 ENSG00000164867 1
ENSG00000142208 ENSG00000135486 -1
ENSG00000142208 ENSG00000091831 1
ENSG00000142208 ENSG00000123374 1
ENSG00000142208 ENSG00000150907 -1
ENSG00000142208 ENSG00000104365 1
ENSG00000142208 ENSG00000059728 -1
ENSG00000142208 ENSG00000124942 1
ENSG00000142208 ENSG00000197442 -1
ENSG00000142208 ENSG00000132155 -1
ENSG00000142208 ENSG00000164924 1
ENSG00000142208 ENSG00000100292 1
ENSG00000142208 ENSG00000114316 1
ENSG00000142208 ENSG00000088247 -1
ENSG00000142208 ENSG00000170989 1
ENSG00000142208 ENSG00000132356 -1
ENSG00000142208 ENSG00000105723 -1
ENSG00000142208 ENSG00000150093 1
ENSG00000142208 ENSG00000065978 1
ENSG00000142208 ENSG00000185650 -1
ENSG00000142208 ENSG00000155506 -1
ENSG00000142208 ENSG00000025293 -1
ENSG00000142208 ENSG00000171862 -1
ENSG00000142208 CHUK_IKBKB_IKBKG 1
ENSG00000142208 ENSG00000113580 -1
ENSG00000142208 ENSG00000072062 1
ENSG00000142208 ENSG00000108106 1
ENSG00000142208 ENSG00000132906 -1
ENSG00000142208 ENSG00000184481 1
ENSG00000142208 ENSG00000169252 -1
ENSG00000142208 ENSG00000172315 1
ENSG00000142208 ENSG00000149554 -1
ENSG00000142208 ENSG00000118689 1
ENSG00000142208 ENSG00000037897 -1
ENSG00000142208 ENSG00000063046 1
ENSG00000142208 ENSG00000176444 1
ENSG00000142208 ENSG00000173473 1
ENSG00000142208 ENSG00000104375 -1
ENSG00000142208 ENSG00000196365 1
ENSG00000142208 ENSG00000163931 1
ENSG00000142208 ENSG00000198523 -1
ENSG00000142208 ENSG00000135679 1
ENSG00000142208 ENSG00000168090 1
ENSG00000142208 ENSG00000162734 1
ENSG00000142208 ENSG00000213341 1
ENSG00000142208 ENSG00000012048 1
ENSG00000142208 ENSG00000140009 1
ENSG00000142208 ENSG00000156515 1
ENSG00000142208 ENSG00000198625 1
ENSG00000142208 ENSG00000033327 -1
ENSG00000142208 ENSG00000106462 -1
ENSG00000142208 ENSG00000107968 1
ENSG00000142208 ENSG00000164362 1
ENSG00000142208 ENSG00000101557 1
ENSG00000142208 ENSG00000124788 1
ENSG00000142208 ENSG00000165280 1
ENSG00000142208 ENSG00000123358 -1
ENSG00000142208 ENSG00000281518 -1
ENSG00000142208 ENSG00000157500 1
ENSG00000142208 ENSG00000136848 -1
ENSG00000142208 ENSG00000163781 1
ENSG00000142208 ENSG00000115317 -1
ENSG00000142208 ENSG00000153094 -1
ENSG00000142208 ENSG00000149273 1
ENSG00000142208 ENSG00000157933 -1
